年份,GDP总量,第一产业,第二产业,第三产业,第一产业占比,第二产业占比,第三产业占比
2015,702511.5,57774.6,281338.9,363397.9,0.0822,0.4005,0.5173
2016,761193.0,60139.2,295427.8,405626.0,0.079,0.3881,0.5329
2017,847382.9,62099.5,331580.5,453702.9,0.0733,0.3913,0.5354
2018,936010.1,64745.2,364835.2,506429.8,0.0692,0.3898,0.5411
2019,1005872.4,70473.6,379860.0,555538.9,0.0701,0.3776,0.5523
2020,1034867.6,78030.9,381985.8,574850.9,0.0754,0.3691,0.5555
2021,1173823.0,83216.5,447138.2,643468.4,0.0709,0.3809,0.5482
2022,1234029.4,88207.0,467629.6,678192.7,0.0715,0.3789,0.5496
2023,1294271.7,89169.1,475936.1,729166.5,0.0689,0.3677,0.5634
2024,1348066.2,91413.9,492087.1,765582.5,0.0678,0.365,0.5679
