省份,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
上海市,27779.56,30456.48,34046.64,37791.72,40840.56,41888.66,47032.26,48454.18,51493.13,53764.36
云南省,14941.26,16549.39,18770.0,21154.45,23306.94,24673.59,27264.0,28763.77,29974.27,30844.8
内蒙古自治区,12611.66,13429.88,14716.75,15987.25,16890.17,17129.08,21063.87,23327.36,24463.43,25702.32
北京市,26473.35,29014.54,32213.68,35586.0,38406.2,39259.66,44592.13,45272.39,47675.51,49872.56
吉林省,9850.28,10307.05,11073.32,11803.97,12263.32,12223.82,13147.22,12895.01,13683.97,14072.63
四川省,29933.43,33020.23,37373.06,41994.64,46009.37,48351.23,53961.92,56608.08,60199.38,63385.54
天津市,10619.83,11284.2,12331.12,13348.95,14005.1,14004.6,15883.75,16391.98,17024.82,17787.57
宁夏回族自治区,2564.17,2801.79,3146.91,3505.24,3797.15,3940.97,4569.62,5078.98,5268.44,5392.21
安徽省,23222.87,25584.79,29033.08,32668.72,35750.93,37540.24,42095.52,44669.85,47241.46,49553.14
山东省,54402.21,57768.19,63101.77,68344.3,71926.42,72494.18,83052.5,87950.47,92406.69,96561.67
山西省,11713.91,12776.52,14326.53,15931.3,17197.06,17751.75,22619.81,25207.89,25549.4,24970.45
广东省,73838.86,80501.03,90229.13,100264.9,108116.37,111339.53,125387.35,130567.12,135767.9,139198.29
广西壮族自治区,14469.8,15694.55,17484.26,19329.26,20876.02,21705.72,24693.82,25914.59,26928.01,28016.85
新疆维吾尔自治区,9258.0,10049.49,11177.56,12355.09,13353.22,13889.53,16354.71,18164.02,19132.87,20019.87
江苏省,69814.45,75577.97,84188.38,92979.46,99614.03,101991.44,117529.61,122497.93,128582.7,134387.29
江西省,16338.49,17796.31,19996.28,22271.06,24090.64,25002.29,29096.21,30937.21,31951.84,33432.56
河北省,25737.48,27523.24,30298.76,33076.83,35146.11,35844.02,40264.14,42407.96,44761.49,46548.18
河南省,35316.0,38238.65,42681.94,47233.27,50814.24,52483.39,56362.31,57631.75,59282.12,62151.44
浙江省,42963.74,46954.08,52819.2,58882.53,63633.64,65660.67,75424.94,79547.6,84276.97,88581.27
海南省,3743.15,4073.67,4495.91,4948.91,5374.8,5614.31,6396.78,6816.1,7482.88,7797.96
湖北省,29655.31,31835.48,35125.58,38456.32,41000.76,41934.33,48973.35,52473.2,55666.75,58755.29
湖南省,27849.72,30074.64,33387.75,36778.58,39447.46,40596.64,44697.41,47059.8,49620.61,52078.56
甘肃省,6645.16,7110.78,7778.33,8456.89,8992.53,9174.85,10403.53,11369.29,12136.26,12753.92
福建省,26310.03,28989.34,32925.17,37067.61,40504.73,42400.63,48471.1,51124.99,53675.26,56536.55
西藏自治区,1045.55,1187.22,1378.31,1589.85,1789.17,1926.87,2108.05,2201.86,2492.36,2714.11
贵州省,10603.79,11806.03,13451.47,15234.7,16875.99,17953.5,19496.99,20223.99,21112.32,22205.88
辽宁省,20161.64,21184.97,22826.15,24405.06,25408.92,25334.87,27925.1,29255.77,30836.49,31974.33
重庆市,15829.35,17341.75,19532.87,21817.95,23680.18,24589.66,27552.83,28305.96,30089.6,31594.58
陕西省,17471.08,18853.34,20987.75,23151.1,24787.43,25458.06,29718.82,32369.79,33206.85,34718.43
青海省,1986.03,2161.91,2420.62,2687.17,2901.63,3004.5,3371.56,3612.06,3774.88,3869.44
黑龙江省,11798.43,12215.68,12880.03,13506.86,13924.6,13833.35,14966.32,16077.62,16156.26,16114.33
